"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Morton, Charlie",450203,2025,41,"10","33.2",167,139,44,29,6,1,8,30,22,18,13.2,".317",".547",".407","0.954",".289",".497",".411",".381",".387",".208","71.9",22.1,18.6,14.4,36.2,28,"7.3",7,"91.6","11",31.9,10.6,47.8,"81.974946316","95.253826283",24.3,44.3
"Ryan, Joe",657746,2025,29,"8","46.0",178,168,33,19,7,0,7,54,5,30.3,2.8,".196",".363",".242","0.605",".209",".424",".267",".292",".254",".215","72.3",26.7,13.2,9.2,32,22.4,"7.2",3,"90.4","22.8",30.7,13.2,43.9,"80.345658947","94.704578053",30,50.4
"Skubal, Tarik",669373,2025,28,"8","47.2",184,176,37,30,3,0,4,60,5,32.6,2.7,".210",".295",".240","0.535",".226",".342",".240",".261",".256",".116","71.1",18.9,8.8,5.6,27.9,17.8,"7.3",6,"85.5","12",36.8,5.1,30.8,"73.604054483","92.730020957",35.8,55.7
"Povich, Cade",700249,2025,25,"7","35.2",158,145,43,28,7,1,7,29,12,18.4,7.6,".297",".503",".348","0.851",".304",".572",".368",".393",".357",".268","72",24.8,18.4,14.7,38.2,30.6,"7.4",4,"90.7","12.9",37.6,12,46.2,"79.920825","95.116716897",21.2,44.9
"May, Dustin",669160,2025,27,"7","39.2",166,150,34,23,5,2,4,33,15,19.9,9,".227",".367",".301","0.668",".276",".436",".299",".343",".346",".160","72.2",25.5,17.6,13.9,36.3,28.6,"7",3,"90.7","7",30.8,6.8,44.4,"78.988974655","95.497866552",21.9,44.6
"Ortiz, Luis",682847,2025,26,"8","43.1",188,166,38,24,7,1,6,49,21,26.1,11.2,".229",".392",".314","0.706",".261",".503",".314",".363",".343",".242","72.1",27.8,19.5,13.7,39,27.4,"7.3",6,"93.3","13.7",33.1,14.4,49.2,"83.442609483","96.468211207",30.4,47.4
"Elder, Bryce",693821,2025,26,"7","38.0",160,146,37,18,11,0,8,30,12,18.8,7.5,".253",".493",".306","0.799",".267",".479",".344",".341",".319",".212","72.4",28.9,19.2,15.9,36,29.7,"7.5",4,"89.7","9.1",25.4,10.2,44.9,"78.326762542","95.027535593",19.3,43.9
"Smith, Shane",681343,2025,25,"8","43.1",177,156,32,24,7,0,1,38,15,21.5,8.5,".205",".269",".294","0.563",".234",".337",".263",".300",".322",".103","71.6",24.7,12.4,9,34.2,24.7,"7.1",4,"88.7","12.8",28.6,4.2,39.5,"76.757505254","94.562353162",28.5,48.1
"Roupp, Landen",694738,2025,26,"8","40.0",178,161,46,33,7,0,6,42,14,23.6,7.9,".286",".441",".339","0.780",".240",".388",".343",".302",".301",".148","71.8",22.4,13.5,9.8,34.6,25.1,"7.6",9,"86.8","11.2",40.2,7.4,30.3,"75.1618535","93.264674286",28.8,44.2
"Mize, Casey",663554,2025,28,"7","42.2",167,157,34,24,3,1,6,35,9,21,5.4,".217",".363",".257","0.620",".208",".372",".273",".269",".250",".164","72.2",26.7,16.8,12.1,40.3,28.9,"7.3",4,"89.8","13.8",29.3,8.9,40.7,"79.774505806","94.279611057",28.3,49.5
"Patrick, Chad",694477,2025,26,"9","42.1",175,157,39,24,11,0,4,36,14,20.6,8,".248",".395",".310","0.705",".260",".414",".310",".319",".322",".154","71.3",17.3,13.2,10.5,32.1,25.5,"7.1",2,"90.2","22.4",40.3,4.8,45.2,"79.607912787","94.731050656",20.2,48.5
"Springs, Jeffrey",605488,2025,32,"8","39.1",175,152,37,23,8,0,6,32,19,18.3,10.9,".243",".414",".320","0.734",".245",".404",".323",".324",".327",".160","70.6",17.5,12,9.3,36.8,28.7,"7.3",4,"87.2","21",36.3,8.1,32.3,"76.75520129","92.901421452",24.1,45.3
